"stateCode","stateName","area","year","population"
"BR","Brazil",8459417,1992,154460821
"BR","Brazil",8459417,1993,156963840
"BR","Brazil",8459417,1994,159448367
"BR","Brazil",8459417,1991,151944196
"BR","Brazil",8459417,1970,94930053
"BR","Brazil",8459417,1971,97350239
"BR","Brazil",8459417,1978,115283675
"BR","Brazil",8459417,1979,118157191
"BR","Brazil",8459417,1980,121063697
"BR","Brazil",8459417,1981,123961522
"BR","Brazil",8459417,1982,126890221
"BR","Brazil",8459417,1983,129821262
"BR","Brazil",8459417,1984,132793071
"BR","Brazil",8459417,1985,135733183
"BR","Brazil",8459417,1986,138567223
"BR","Brazil",8459417,1987,141352474
"BR","Brazil",8459417,1988,144096245
"BR","Brazil",8459417,1989,146797954
"BR","Brazil",8459417,1990,149409483
"BR","Brazil",8459417,1950,53443075
"BR","Brazil",8459417,1951,54973775
"BR","Brazil",8459417,1952,56557783
"BR","Brazil",8459417,1953,58197231
"BR","Brazil",8459417,1954,59894345
"BR","Brazil",8459417,1955,61651450
"BR","Brazil",8459417,1956,63481099
"BR","Brazil",8459417,1957,65369855
"BR","Brazil",8459417,1958,67319772
"BR","Brazil",8459417,1959,69332977
"BR","Brazil",8459417,1960,71411679
"BR","Brazil",8459417,1961,73512233
"BR","Brazil",8459417,1962,75679187
"BR","Brazil",8459417,1963,77914771
"BR","Brazil",8459417,1964,80221304
"BR","Brazil",8459417,1965,82601179
"BR","Brazil",8459417,1966,85017480
"BR","Brazil",8459417,1967,87459519
"BR","Brazil",8459417,1968,89926300
"BR","Brazil",8459417,1969,92416817
"BR","Brazil",8459417,2010,195834188
"BR","Brazil",8459417,1972,99800740
"BR","Brazil",8459417,1973,102281260
"BR","Brazil",8459417,1974,104790608
"BR","Brazil",8459417,1975,107327250
"BR","Brazil",8459417,1976,109890962
"BR","Brazil",8459417,1977,112528142
"BR","Brazil",8459417,2004,183827544
"BR","Brazil",8459417,2005,186020004
"BR","Brazil",8459417,2006,188131059
"BR","Brazil",8459417,2007,190167417
"BR","Brazil",8459417,1995,161911449
"BR","Brazil",8459417,1996,164369473
"BR","Brazil",8459417,1997,166840211
"BR","Brazil",8459417,1998,169322084
"BR","Brazil",8459417,1999,171814744
"BR","Brazil",8459417,2000,174315386
"BR","Brazil",8459417,2001,176789957
"BR","Brazil",8459417,2002,179204829
"BR","Brazil",8459417,2003,181553173
"BR","Brazil",8459417,2015,204259812
"BR","Brazil",8459417,2009,194019058
"BR","Brazil",8459417,2012,199321413
"BR","Brazil",8459417,2013,201009622
"BR","Brazil",8459417,2008,192130270
"BR","Brazil",8459417,2011,197595498
"BR","Brazil",8459417,2014,202656788
"IT","Italy",294140,2000,57784373
"IT","Italy",294140,2002,58076703
"IT","Italy",294140,2001,57931053
"IT","Italy",294140,1953,47957000
"IT","Italy",294140,2012,61261254
"IT","Italy",294140,1999,57655529
"IT","Italy",294140,1954,48299000
"IT","Italy",294140,2004,58716002
"IT","Italy",294140,1958,49476000
"IT","Italy",294140,2007,59626720
"IT","Italy",294140,2008,60091306
"IT","Italy",294140,2005,59037808
"IT","Italy",294140,2006,59272880
"IT","Italy",294140,2011,61016804
"IT","Italy",294140,1969,53317000
"IT","Italy",294140,2013,61482297
